Frequency	dB
20.00	0.07
21.20	-0.00
22.40	-0.09
23.60	-0.17
25.00	-0.26
26.50	-0.34
28.00	-0.42
30.00	-0.50
31.50	-0.55
33.50	-0.62
35.50	-0.67
37.50	-0.71
40.00	-0.75
42.50	-0.78
45.00	-0.80
47.50	-0.83
50.00	-0.85
53.00	-0.89
56.00	-0.92
60.00	-0.98
63.00	-1.03
67.00	-1.09
71.00	-1.16
75.00	-1.23
80.00	-1.32
85.00	-1.41
90.00	-1.50
95.00	-1.58
100.00	-1.68
106.00	-1.80
112.00	-1.94
118.00	-2.10
125.00	-2.29
132.00	-2.49
140.00	-2.70
150.00	-2.92
160.00	-3.10
170.00	-3.22
180.00	-3.31
190.00	-3.38
200.00	-3.44
212.00	-3.51
224.00	-3.58
236.00	-3.64
250.00	-3.69
265.00	-3.72
280.00	-3.72
300.00	-3.69
315.00	-3.64
335.00	-3.57
355.00	-3.50
375.00	-3.45
400.00	-3.45
425.00	-3.53
450.00	-3.68
475.00	-3.89
500.00	-4.13
530.00	-4.43
560.00	-4.73
600.00	-5.14
630.00	-5.46
670.00	-5.87
710.00	-6.25
750.00	-6.56
800.00	-6.86
850.00	-7.05
900.00	-7.14
950.00	-7.14
1000.00	-7.05
1060.00	-6.84
1120.00	-6.55
1180.00	-6.25
1250.00	-5.91
1320.00	-5.61
1400.00	-5.29
1500.00	-4.89
1600.00	-4.44
1700.00	-3.88
1800.00	-3.25
1900.00	-2.57
2000.00	-1.83
2120.00	-0.89
2240.00	-0.00
2360.00	0.73
2500.00	1.24
2650.00	1.37
2800.00	1.18
3000.00	0.70
3150.00	0.24
3350.00	-0.41
3550.00	-1.11
3750.00	-1.83
4000.00	-2.75
4250.00	-3.65
4500.00	-4.49
4750.00	-5.28
5000.00	-6.02
5300.00	-6.85
5600.00	-7.53
6000.00	-8.17
6300.00	-8.36
6700.00	-8.20
7100.00	-7.77
7500.00	-7.24
8000.00	-6.90
8500.00	-7.53
9000.00	-8.76
9500.00	-10.26
10000.00	-11.80
10600.00	-13.46
11200.00	-15.07
11800.00	-16.75
12500.00	-18.59
13200.00	-19.71
14000.00	-19.64
15000.00	-18.54
16000.00	-17.49
17000.00	-16.48
18000.00	-15.55
19000.00	-14.77
20000.00	-14.46
