Frequency	dB
20.00	98.55
20.29	98.56
20.59	98.56
20.89	98.56
21.19	98.57
21.50	98.57
21.81	98.58
22.13	98.58
22.45	98.58
22.78	98.59
23.11	98.59
23.44	98.59
23.78	98.59
24.13	98.59
24.48	98.59
24.84	98.59
25.20	98.60
25.56	98.60
25.94	98.60
26.31	98.59
26.70	98.59
27.09	98.59
27.48	98.59
27.88	98.59
28.28	98.59
28.70	98.59
29.11	98.58
29.54	98.58
29.97	98.58
30.40	98.57
30.84	98.57
31.29	98.56
31.75	98.55
32.21	98.55
32.68	98.54
33.15	98.53
33.64	98.52
34.13	98.51
34.62	98.50
35.13	98.49
35.64	98.47
36.15	98.45
36.68	98.44
37.21	98.42
37.75	98.40
38.30	98.38
38.86	98.35
39.43	98.33
40.00	98.30
40.58	98.27
41.17	98.24
41.77	98.21
42.38	98.18
42.99	98.14
43.62	98.10
44.25	98.06
44.90	98.02
45.55	97.98
46.21	97.93
46.89	97.89
47.57	97.84
48.26	97.79
48.96	97.74
49.67	97.68
50.40	97.63
51.13	97.57
51.87	97.52
52.63	97.46
53.39	97.40
54.17	97.34
54.96	97.28
55.76	97.22
56.57	97.15
57.39	97.09
58.23	97.03
59.07	96.96
59.93	96.89
60.80	96.83
61.69	96.76
62.59	96.69
63.50	96.62
64.42	96.55
65.36	96.48
66.31	96.40
67.27	96.33
68.25	96.26
69.24	96.19
70.25	96.11
71.27	96.04
72.31	95.97
73.36	95.89
74.43	95.82
75.51	95.75
76.61	95.68
77.72	95.60
78.85	95.53
80.00	95.46
81.16	95.39
82.34	95.31
83.54	95.24
84.76	95.17
85.99	95.09
87.24	95.02
88.51	94.95
89.80	94.87
91.10	94.80
92.43	94.72
93.77	94.64
95.14	94.57
96.52	94.49
97.92	94.41
99.35	94.33
100.79	94.24
102.26	94.16
103.75	94.08
105.26	93.99
106.79	93.91
108.34	93.82
109.92	93.73
111.52	93.64
113.14	93.55
114.78	93.46
116.45	93.37
118.15	93.27
119.86	93.18
121.61	93.08
123.38	92.99
125.17	92.90
126.99	92.80
128.84	92.71
130.71	92.61
132.61	92.52
134.54	92.43
136.50	92.34
138.49	92.25
140.50	92.16
142.54	92.07
144.62	91.99
146.72	91.90
148.85	91.82
151.02	91.74
153.22	91.65
155.45	91.57
157.71	91.49
160.00	91.41
162.33	91.34
164.69	91.26
167.08	91.18
169.51	91.10
171.98	91.03
174.48	90.96
177.02	90.88
179.59	90.81
182.21	90.74
184.86	90.67
187.55	90.60
190.27	90.53
193.04	90.46
195.85	90.39
198.70	90.33
201.59	90.27
204.52	90.21
207.49	90.15
210.51	90.09
213.57	90.03
216.68	89.98
219.83	89.93
223.03	89.88
226.27	89.84
229.57	89.79
232.90	89.75
236.29	89.72
239.73	89.68
243.22	89.65
246.75	89.62
250.34	89.60
253.98	89.57
257.68	89.56
261.43	89.54
265.23	89.52
269.09	89.51
273.00	89.51
276.97	89.50
281.00	89.50
285.09	89.50
289.23	89.50
293.44	89.50
297.71	89.51
302.04	89.51
306.43	89.52
310.89	89.53
315.41	89.54
320.00	89.55
324.65	89.56
329.38	89.57
334.17	89.59
339.03	89.60
343.96	89.61
348.96	89.62
354.04	89.64
359.19	89.65
364.41	89.66
369.71	89.67
375.09	89.68
380.55	89.68
386.08	89.69
391.70	89.69
397.39	89.70
403.17	89.70
409.04	89.70
414.99	89.69
421.02	89.69
427.15	89.68
433.36	89.67
439.67	89.65
446.06	89.64
452.55	89.62
459.13	89.60
465.81	89.57
472.58	89.55
479.46	89.52
486.43	89.49
493.51	89.46
500.69	89.43
507.97	89.39
515.36	89.36
522.85	89.32
530.46	89.28
538.17	89.24
546.00	89.20
553.94	89.16
562.00	89.12
570.18	89.07
578.47	89.03
586.88	88.99
595.42	88.95
604.08	88.90
612.87	88.86
621.78	88.81
630.82	88.77
640.00	88.73
649.31	88.68
658.75	88.64
668.34	88.60
678.06	88.56
687.92	88.53
697.92	88.49
708.08	88.45
718.38	88.42
728.82	88.40
739.43	88.37
750.18	88.34
761.09	88.33
772.16	88.31
783.39	88.30
794.79	88.28
806.35	88.28
818.08	88.28
829.98	88.28
842.05	88.28
854.30	88.28
866.72	88.30
879.33	88.31
892.12	88.33
905.10	88.35
918.26	88.38
931.62	88.42
945.17	88.45
958.92	88.49
972.86	88.53
987.01	88.58
1001.37	88.62
1015.94	88.68
1030.71	88.73
1045.71	88.79
1060.92	88.85
1076.35	88.92
1092.00	88.99
1107.89	89.06
1124.00	89.14
1140.35	89.22
1156.94	89.30
1173.77	89.39
1190.84	89.47
1208.16	89.56
1225.73	89.66
1243.56	89.75
1261.65	89.85
1280.00	89.95
1298.62	90.05
1317.51	90.16
1336.67	90.26
1356.11	90.36
1375.84	90.46
1395.85	90.56
1416.15	90.66
1436.75	90.76
1457.65	90.86
1478.85	90.97
1500.36	91.07
1522.19	91.18
1544.33	91.29
1566.79	91.40
1589.58	91.51
1612.70	91.64
1636.16	91.76
1659.95	91.89
1684.10	92.03
1708.60	92.17
1733.45	92.32
1758.66	92.47
1784.24	92.62
1810.19	92.78
1836.52	92.95
1863.24	93.12
1890.34	93.29
1917.83	93.47
1945.73	93.65
1974.03	93.83
2002.74	94.01
2031.87	94.18
2061.43	94.36
2091.41	94.53
2121.83	94.70
2152.69	94.87
2184.01	95.04
2215.77	95.22
2248.00	95.38
2280.70	95.55
2313.87	95.71
2347.53	95.87
2381.68	96.02
2416.32	96.17
2451.46	96.31
2487.12	96.44
2523.30	96.56
2560.00	96.68
2597.24	96.79
2635.01	96.89
2673.34	96.99
2712.23	97.07
2751.68	97.15
2791.70	97.23
2832.31	97.29
2873.50	97.34
2915.30	97.39
2957.70	97.43
3000.72	97.47
3044.37	97.50
3088.65	97.52
3133.58	97.54
3179.16	97.55
3225.40	97.55
3272.31	97.54
3319.91	97.53
3368.20	97.50
3417.19	97.48
3466.89	97.44
3517.32	97.40
3568.48	97.35
3620.39	97.30
3673.05	97.24
3726.47	97.17
3780.67	97.10
3835.67	97.03
3891.46	96.96
3948.06	96.88
4005.49	96.80
4063.75	96.71
4122.86	96.63
4182.82	96.53
4243.66	96.44
4305.39	96.34
4368.01	96.24
4431.55	96.14
4496.01	96.03
4561.40	95.92
4627.75	95.81
4695.06	95.70
4763.35	95.59
4832.64	95.47
4902.93	95.36
4974.24	95.25
5046.60	95.14
5120.00	95.03
5194.47	94.92
5270.03	94.82
5346.68	94.71
5424.45	94.60
5503.35	94.49
5583.40	94.39
5664.61	94.29
5747.01	94.19
5830.60	94.09
5915.41	93.98
6001.45	93.87
6088.74	93.75
6177.30	93.61
6267.15	93.48
6358.31	93.34
6450.80	93.21
6544.62	93.07
6639.82	92.93
6736.40	92.78
6834.38	92.63
6933.79	92.47
7034.64	92.29
7136.96	92.10
7240.77	91.91
7346.09	91.70
7452.94	91.49
7561.35	91.29
7671.33	91.08
7782.91	90.87
7896.12	90.65
8010.97	90.43
8127.49	90.18
8245.71	89.93
8365.65	89.67
8487.33	89.40
8610.78	89.11
8736.03	88.81
8863.09	88.51
8992.01	88.19
9122.80	87.85
9255.50	87.51
9390.12	87.15
9526.70	86.79
9665.27	86.41
9805.86	86.02
9948.49	85.64
10093.19	85.26
10240.00	84.88
10388.94	84.50
10540.05	84.12
10693.36	83.73
10848.90	83.32
11006.70	82.91
11166.80	82.49
11329.22	82.06
11494.01	81.61
11661.20	81.18
11830.81	80.75
12002.89	80.33
12177.48	79.93
12354.61	79.52
12534.31	79.13
12716.62	78.81
12901.59	78.48
13089.25	78.15
13279.64	77.90
13472.79	77.74
13668.76	77.58
13867.58	77.43
14069.29	77.32
14273.93	77.29
14481.55	77.25
14692.19	77.22
14905.89	77.17
15122.70	77.09
15342.66	76.98
15565.83	76.86
15792.24	76.73
16021.94	76.56
16254.99	76.32
16491.42	76.06
16731.29	75.77
16974.66	75.44
17221.56	75.04
17472.05	74.59
17726.19	74.11
17984.02	73.57
18245.61	72.91
18510.99	72.26
18780.24	71.99
19053.41	72.44
19330.55	71.85
19611.72	62.39
