Frequency	dB
20.00	-0.48
21.20	-0.53
22.40	-0.59
23.60	-0.66
25.00	-0.72
26.50	-0.78
28.00	-0.84
30.00	-0.92
31.50	-0.97
33.50	-1.04
35.50	-1.10
37.50	-1.16
40.00	-1.24
42.50	-1.31
45.00	-1.39
47.50	-1.46
50.00	-1.53
53.00	-1.62
56.00	-1.71
60.00	-1.84
63.00	-1.94
67.00	-2.08
71.00	-2.22
75.00	-2.37
80.00	-2.57
85.00	-2.76
90.00	-2.95
95.00	-3.13
100.00	-3.30
106.00	-3.49
112.00	-3.65
118.00	-3.79
125.00	-3.94
132.00	-4.07
140.00	-4.20
150.00	-4.34
160.00	-4.44
170.00	-4.52
180.00	-4.58
190.00	-4.63
200.00	-4.66
212.00	-4.69
224.00	-4.71
236.00	-4.73
250.00	-4.76
265.00	-4.79
280.00	-4.81
300.00	-4.84
315.00	-4.86
335.00	-4.85
355.00	-4.84
375.00	-4.81
400.00	-4.77
425.00	-4.73
450.00	-4.67
475.00	-4.60
500.00	-4.51
530.00	-4.38
560.00	-4.24
600.00	-4.04
630.00	-3.91
670.00	-3.75
710.00	-3.62
750.00	-3.51
800.00	-3.40
850.00	-3.31
900.00	-3.24
950.00	-3.14
1000.00	-3.01
1060.00	-2.79
1120.00	-2.53
1180.00	-2.24
1250.00	-1.90
1320.00	-1.56
1400.00	-1.17
1500.00	-0.64
1600.00	-0.02
1700.00	0.68
1800.00	1.44
1900.00	2.23
2000.00	3.04
2120.00	4.03
2240.00	4.93
2360.00	5.65
2500.00	6.17
2650.00	6.30
2800.00	6.13
3000.00	5.67
3150.00	5.25
3350.00	4.66
3550.00	4.04
3750.00	3.43
4000.00	2.69
4250.00	2.00
4500.00	1.38
4750.00	0.82
5000.00	0.31
5300.00	-0.26
5600.00	-0.72
6000.00	-1.11
6300.00	-1.15
6700.00	-0.86
7100.00	-0.35
7500.00	0.22
8000.00	0.65
8500.00	0.17
9000.00	-0.82
9500.00	-1.96
10000.00	-3.04
10600.00	-4.01
11200.00	-4.81
11800.00	-5.57
12500.00	-6.42
13200.00	-7.20
14000.00	-8.01
15000.00	-8.95
16000.00	-9.73
17000.00	-10.20
18000.00	-10.47
19000.00	-10.61
20000.00	-10.67
